user_id,case_id,weight
U001,CL003,3
U001,CL021,1
U001,CL014,1
U002,CL005,4
U002,CL021,5
U002,CL009,4
U002,CL006,5
U002,CL024,1
U003,CL003,5
U003,CL023,1
U003,CL005,3
U004,CL018,1
U004,CL005,3
U004,CL014,2
U004,CL023,2
U004,CL002,1
U004,CL010,3
U004,CL012,5
U005,CL020,1
U005,CL005,2
U005,CL008,3
U005,CL006,4
U005,CL021,2
U005,CL014,3
U006,CL023,4
U006,CL004,2
U006,CL013,2
U006,CL002,4
U007,CL010,4
U007,CL008,3
U007,CL001,3
U007,CL022,1
U007,CL007,3
U008,CL021,3
U008,CL017,1
U008,CL013,1
U008,CL022,3
U008,CL018,2
U009,CL009,4
U009,CL002,5
U009,CL004,5
U009,CL020,1
U009,CL014,4
U009,CL012,5
U009,CL011,2
U010,CL002,5
U010,CL023,2
U010,CL014,3
U010,CL001,4
U010,CL017,1
U011,CL011,3
U011,CL020,4
U011,CL024,3
U011,CL004,5
U011,CL010,2
U011,CL017,2
U011,CL023,4
U011,CL014,4
U012,CL024,3
U012,CL006,3
U012,CL020,2
U012,CL019,4
U012,CL010,5
U012,CL013,5
U012,CL018,3
U012,CL001,4
U013,CL015,1
U013,CL022,3
U013,CL007,5
U013,CL017,5
U013,CL016,3
U013,CL006,1
U014,CL022,2
U014,CL010,1
U014,CL008,1
U014,CL007,2
U015,CL020,4
U015,CL003,4
U015,CL015,4
U015,CL014,2
U015,CL019,2
U015,CL007,1
